etext_id,title
17370,"Prehistoric Textile Fabrics Of The United States,"
6932,"Pictures Every Child Should Know by Bacon"
34834,"A Text-Book of Astronomy by George C. Comstock"
32000,"An Introduction to Astronomy by Forest Ray Moulton"
25267,"Astronomy for Amateurs by Camille Flammarion"
35744,"The gradual acceptance of the Copernican theory of"
8172,"History of Astronomy by George Forbes"
26556,"Myths and Marvels of Astronomy by Proctor"
28613,"Pioneers of Science by Sir Oliver Lodge"
28752,"Pleasures of the telescope by Serviss"
6630,"Curiosities of the Sky by Garrett Putman Serviss"
18431,"Other Worlds by Garrett Putman Serviss"
35261,"A New Astronomy by David Peck Todd"
28247,"A Popular History of Astronomy During the Nineteen"
16767,"Half-hours with the Telescope by Proctor"
4065,"Side-Lights on Astronomy and Kindred Fields of Pop"
29031,"Sir William Herschel: His Life and Works by Holden"
28434,"The Astronomy of Milton's 'Paradise Lost'"
25992,"The Martyrs of Science, or, The lives of Galileo,"
27378,"The Story of the Heavens by Sir Robert S.  Ball"
16227,"The Uses of Astronomy by Edward Everett"
24236,"Time and Tide by Sir Robert S.  Ball"
6574,"Watchers of the Sky by Alfred Noyes"
33130,"Incidents of Travel in Yucatan, Vol. II."
35588,"Scientific Papers by Sir George Howard Darwin"
30607,"Australia, its history and present condition"
8106,"Captain Cook's Journal During the First Voyage Rou"
12668,"An Account of the English Colony in New South Wale"
2660,"Early Australian Voyages: Pelsart, Tasman, Dampier"
7450,"Terre Napoleón; a History of French Explorations"
15602,"Statistical, Historical and Political Description"
10840,"The Explorers of Australia and their Life-work"
7163,"The History of Australian Exploration from 1788 to"
4974,"Australia Twice Traversed, Illustrated, by Giles"
33097,"Blackwood's Edinburgh Magazine, Volume 57, No. 354"
10461,"Journals of Australian Explorations by Gregory"
16027,"Journals of Two Expeditions of Discovery in North-"
4521,"Narrative of the Overland Expedition of the Messrs"
11203,"Narrative of a Survey of the Intertropical and Wes"
12046,"Narrative of a Survey of the Intertropical and Wes"
13248,"McKinlay's Journal of Exploration in the Interior"
9943,"Journal of an Expedition into the Interior of Trop"
12928,"Three Expeditions into the Interior of Eastern Aus"
13033,"Three Expeditions into the Interior of Eastern Aus"
5334,"Journals of Two Expeditions into the Interior of N"
4976,"Expedition into Central Australia by Charles Sturt"
4330,"Two Expeditions into the Interior of Southern Aust"
5816,"Successful Exploration Through the Interior of Aus"
12115,"Discoveries in Australia, Volume 1. by Stokes"
12146,"Discoveries in Australia, Volume 2 by Stokes"
15100,"The Voyage of Governor Phillip to Botany Bay"
4054,"A Lady's Visit to the Gold Diggings of Australia i"
3546,"The Eureka Stockade by Raffaello Carboni"
16050,"The Gold Hunters' Adventures by Thomes"
1198,"Robbery under Arms; a story of life and adventure"
15524,"Digger Smith by C. J.  Dennis"
16588,"Over the Top With the Third Australian Division"
20116,"The Belief in Immortality and the Worship of the D"
3819,"The Euahlayi Tribe; a study of aboriginal life in"
17404,"Kinship Organisations and Group Marriage in Austra"
15896,"Five Months at Anzac by Joseph Lievesley Beeston"
16251,"A Book for Kids by C. J.  Dennis"
16362,"The Glugs of Gosh by C. J.  Dennis"
1313,"Over the Sliprails by Henry Lawson"
7447,"The Rising of the Court by Henry Lawson"
7114,"Une Vie, a Piece of String and Other Stories"
304,"Rio Grande's Last Race & Other Verses by Paterson"
27099,"Reminiscences of Queensland by W. H.  Corfield"
4051,"Lady Bridget in the Never-Never Land: a story of A"
16664,"Town Life in Australia by Twopeny"
19274,"Letters from the Guardian to Australia and New Zea"
4219,"The Art of Living in Australia ; by Muskett"
1321,"The Waste Land by T. S.  Eliot"
3703,"Dot and the Kangaroo by Ethel C. Pedley"
26034,"Grey Town by Gerald Baldwin"
25059,"In The Far North by Louis Becke"
23050,"Peter Biddulph by William Henry Giles Kingston"
16891,"Peter Parley's Tales About America and Australia"
4731,"Seven Little Australians by Ethel Sybil Turner"
19172,"An Australian in China by George Ernest Morrison"
3832,"Australia Felix by Henry Handel Richardson"
1199,"An Anthology of Australian Verse"
11620,"My Brilliant Career by Miles Franklin"
3424,"For the Term of His Natural Life by Clarke"
3470,"Such Is Life by Joseph Furphy"
20031,"A Final Reckoning by G. A.  Henty"
23615,"Le Tour du Monde; Australie by Various"
12565,"An Account of the English Colony in New South Wale"
5346,"Journals of Expeditions of Discovery into Central"
8911,"Explorations in Australia by John McDouall Stuart"
16243,"Journal of Landsborough's Expedition from Carpenta"
26111,"In A New World by Horatio Alger"
8730,"A Little Bush Maid by Mary Grant Bruce"
25341,"The 28th: A Record of War Service in the Australia"
7047,"Back to Billabong by Mary Grant Bruce"
307,"Three Elephant Power and Other Stories by Paterson"
25750,"Colonial Born by G. Firth Scott"
21464,"The Gilpins and their Fortunes by Kingston"
3677,"On Our Selection by Steele Rudd"
16697,"Epistle to the Son of the Wolf by Bahá'u'lláh"
